University,Type ,Index_faculty_number component,Index_salary component,Final_index,Year,Rank,Rank for gender,Rank for salary
Loyola Marymount University,private,0.653615135,0.987611073,78.72135105,2015,32,39,1
The College of Wooster,private,0.704501639,0.987186161,81.75754477,2015,21,22,2
Massachusetts Institute of Technology,private,0.278654591,0.985618154,56.14400161,2015,94,96,3
Pitzer College,private,0.638388083,0.985300657,77.71531123,2015,39,47,4
Tufts University,private,0.626324893,0.984429621,76.9566784,2015,43,50,5
College of the Holy Cross,private,0.714216681,0.983133489,82.1783404,2015,20,20,6
Haverford College,private,0.791044776,0.981428621,86.7198314,2015,8,10,7
Franklin and Marshall College,private,0.619627177,0.980096706,76.38149885,2015,46,52,8
Mount Holyoke College,private,0.654612933,0.979433849,78.45412991,2015,34,37,9
Barnard College,private,0.729747753,0.979239495,82.95444501,2015,17,18,10
Bowdoin College,private,0.864167996,0.978929811,91.00727217,2015,1,1,11
Carleton College,private,0.818401937,0.974901896,88.10019204,2015,4,6,12
St Olaf College,private,0.72534757,0.973836338,82.47430769,2015,18,19,13
Bryn Mawr College,private,0.801338103,0.973503248,87.0204161,2015,7,7,14
Brandeis University,private,0.648083594,0.972597532,77.78891692,2015,38,41,15
Hamilton College,private,0.736725857,0.971629804,83.06874359,2015,16,17,16
Rensselaer Polytechnic Institute,private,0.331343427,0.969005812,58.64083808,2015,92,94,17
Skidmore College,private,0.700870456,0.966239839,80.70182091,2015,23,26,18
Colgate University,private,0.69492724,0.966141675,80.34130141,2015,24,28,19
Scripps College,private,0.792639164,0.965918367,86.19508454,2015,9,8,20
Smith College,private,0.82731483,0.96572551,88.26791018,2015,3,3,21
Lawrence University,private,0.571235586,0.96524833,72.88406839,2015,57,65,22
Stanford University,private,0.367467467,0.965207628,60.65635315,2015,86,90,23
Worcester Polytechnic Institute,private,0.344601381,0.965077079,59.27916603,2015,89,93,24
Denison University,private,0.705115655,0.964365425,80.88155628,2015,22,21,25
Macalester College,private,0.763885251,0.964325392,84.40613077,2015,12,12,26
Wellesley College,private,0.829323458,0.963838549,88.31294942,2015,2,2,27
Northeastern University,private,0.520369466,0.963788381,69.77370317,2015,69,73,28
Wesleyan University,private,0.588370721,0.961655882,73.76847852,2015,55,57,29
Grinnell College,private,0.825173285,0.959281436,87.88165451,2015,5,4,30
Pomona College,private,0.751431431,0.958142088,83.41156942,2015,15,15,31
Rose-Hulman Institute of Technology,private,0.247718273,0.9567989,53.13505238,2015,97,99,32
George Washington University,private,0.675937742,0.956490597,78.81588843,2015,31,34,33
Occidental College,private,0.761992177,0.956474829,83.97852381,2015,13,13,34
Colorado College,private,0.65390729,0.955608022,77.45875827,2015,40,38,35
Lafayette College,private,0.58306979,0.954976872,73.18326231,2015,56,59,36
Bates College,private,0.645834837,0.954603118,76.93421493,2015,44,43,37
Colby College,private,0.773573802,0.953174609,84.54141246,2015,11,11,38
Middlebury College,private,0.676172514,0.953005472,78.69056973,2015,33,33,39
Whitman College,private,0.648053231,0.952715073,76.99179675,2015,42,42,40
Reed College,private,0.652040567,0.952118654,77.20718019,2015,41,40,41
Gettysburg College,private,0.760532518,0.952041096,83.7135949,2015,14,14,42
Kenyon College,private,0.702985108,0.952010967,80.25954518,2015,25,24,43
Rhode Island School of Design,private,0.698379447,0.951154332,79.9489401,2015,27,27,44
Rice University,private,0.353418661,0.951111849,59.24959362,2015,90,92,45
Davidson College,private,0.69197861,0.949494351,79.4984906,2015,29,29,46
Yale University,private,0.539649691,0.948984645,70.33836724,2015,65,69,47
Amherst College,private,0.822040614,0.948757249,87.27272681,2015,6,5,48
University of Miami,private,0.426659887,0.948667789,63.54630477,2015,80,84,49
Bentley University,private,0.674439524,0.947879998,78.38157137,2015,35,35,50
Illinois Wesleyan University,private,0.686624014,0.946911267,79.07389154,2015,30,30,51
Bucknell University,private,0.701868955,0.946217007,79.96081757,2015,26,25,52
Williams College,private,0.628387705,0.945066864,75.50593684,2015,47,48,53
Oberlin College,private,0.62242232,0.943927462,75.10243767,2015,51,51,54
Cornell University,private,0.442511863,0.943678782,64.29786309,2015,77,82,55
Vassar College,private,0.791742986,0.942126859,85.18965347,2015,10,9,56
Washington University in St Louis,private,0.387557318,0.939266829,60.82411222,2015,85,87,57
Wake Forest University,private,0.538781016,0.937785442,69.83827866,2015,68,70,58
Lehigh University,private,0.427751472,0.937036198,63.14653627,2015,82,83,59
Boston College,private,0.681169883,0.936896695,78.34606075,2015,36,31,60
Trinity University,private,0.703382238,0.936499452,79.66291237,2015,28,23,61
Johns Hopkins University,private,0.577585393,0.936403623,72.11126852,2015,60,60,62
Swarthmore College,private,0.750190496,0.93500225,82.41151979,2015,19,16,63
Claremont McKenna College,private,0.473445886,0.934687026,65.79423416,2015,75,77,64
Santa Clara University,private,0.618941584,0.934210341,74.50490867,2015,53,53,65
Vanderbilt University,private,0.627257129,0.93395211,74.99351212,2015,52,49,66
Villanova University,private,0.676668146,0.932144501,77.88586878,2015,37,32,67
Boston University,private,0.586317364,0.932122252,72.46393192,2015,58,58,68
Brown University,private,0.444191974,0.931519527,63.91229953,2015,78,81,69
Harvey Mudd College,private,0.546885319,0.930224179,70.0220863,2015,67,68,70
Tulane University of Louisiana,private,0.572298689,0.928416355,71.47457551,2015,62,64,71
Georgetown University,private,0.614371354,0.926666798,73.92895317,2015,54,54,72
Harvard University,private,0.377231777,0.925037321,59.63539942,2015,88,88,73
Washington and Lee University,private,0.638691622,0.922505253,75.22170745,2015,48,46,74
Yeshiva University,private,0.661762895,0.922371935,76.6006511,2015,45,36,75
Wheaton College,private,0.561875546,0.922144943,70.59833047,2015,64,66,76
Princeton University,private,0.365349105,0.921334411,58.77432272,2015,91,91,77
University of Richmond,private,0.642732366,0.915610706,75.18837019,2015,49,45,78
California Institute of Technology,private,0.228741792,0.913801804,50.27657963,2015,100,100,79
University of Rochester,private,0.482729886,0.913321022,65.49663404,2015,76,75,80
Case Western Reserve University,private,0.573961586,0.912452747,70.93580502,2015,63,63,81
Columbia University in The City Of New York,private,0.643741681,0.912105501,75.10872089,2015,50,44,82
University of Dayton,private,0.55133413,0.91073023,69.50925701,2015,70,67,83
University of Notre Dame,private,0.367818571,0.902768018,58.179835,2015,93,89,84
Babson College,private,0.529798797,0.902595512,67.89174828,2015,72,71,85
University of Tulsa,private,0.445392964,0.89970798,62.71189705,2015,84,80,86
Southern Methodist University,private,0.448323951,0.899648498,62.88537698,2015,83,79,87
New York University,private,0.594825098,0.898757982,71.63982516,2015,61,56,88
Stevens Institute of Technology,private,0.276765699,0.896881451,52.48119995,2015,98,97,89
University of Southern California,private,0.458957776,0.894602111,63.32155098,2015,81,78,90
University of Pennsylvania,private,0.400825954,0.894586685,59.83302461,2015,87,85,91
Pepperdine University,private,0.607924619,0.894556119,72.25772185,2015,59,55,92
Brigham Young University-Provo,private,0.249122626,0.89312014,50.67216314,2015,99,98,93
Duke University,private,0.576744684,0.892001873,70.28475592,2015,66,61,94
Northwestern University,private,0.514429909,0.882871223,66.18064342,2015,74,74,95
Dartmouth College,private,0.528646381,0.882083475,67.00212185,2015,73,72,96
University of Chicago,private,0.475924194,0.880467041,63.77413326,2015,79,76,97
Carnegie Mellon University,private,0.32113492,0.880351119,54.48213996,2015,96,95,98
Emory University,private,0.574171403,0.875357058,69.46456649,2015,71,62,99
Cooper Union for the Advancement of Science and Art,private,0.387844835,0.789747745,54.86059989,2015,95,86,100
